Índice,Fecha,Equipo Local,Resultado,Equipo Visitante,Marcador,Tipo,Cómo,Competición,Camiseta,Minuto,Video
899,7-3-2026,DC United,1-2,Inter Miami CF,0-2,Gol de campo,Pie Izquierdo,Major League Soccer,10,27,https://www.youtube.com/watch?v=ilsqlJKSkJY
898,1-3-2026,Orlando City,2-4,Inter Miami CF,2-4,Tiro libre,Pie izquierdo,Major League Soccer,10,90,https://www.youtube.com/watch?v=0C0vEis_nJE
897,1-3-2026,Orlando City,2-4,Inter Miami CF,2-2,Gol de campo,Pie izquierdo,Major League Soccer,10,57,https://www.youtube.com/watch?v=PSDtsjIe3pQ
896,23-11-2025,FC Cincinnati,0-4,Inter Miami CF,0-1,Gol de campo,Cabeza,Major League Soccer Play Offs,10,19,https://www.youtube.com/watch?v=NSY2GJg_U-E
895,14-11-2025,Angola,0-2,Argentina,0-2,Gol de campo,Pie izquierdo,Amistoso Internacional,10,82,https://www.youtube.com/watch?v=i-IwmtnZS9g
894,08-11-2025,Inter Miami CF,4-0,Nashville SC,2-0,Gol de campo,Pie izquierdo,Major League Soccer Play Offs,10,39,https://www.youtube.com/watch?v=W-4J53FCL48
893,08-11-2025,Inter Miami CF,4-0,Nashville SC,1-0,Gol de campo,Pie izquierdo,Major League Soccer Play Offs,10,10,https://www.youtube.com/watch?v=CSyhh9pD_VA
892,01-11-2025,Nashville SC,2-1,Inter Miami CF,2-1,Gol de campo,Pie izquierdo,Major League Soccer Play Offs,10,90,https://www.youtube.com/watch?v=T4z2yBPFpn4
891,24-10-2025,Inter Miami CF,3-1,Nashville SC,3-0,Gol de campo,Pie izquierdo,Major League Soccer Play Offs,10,90+6,https://www.youtube.com/watch?v=lJr5zR6wamY
890,24-10-2025,Inter Miami CF,3-1,Nashville SC,1-0,Gol de campo,Cabeza,Major League Soccer Play Offs,10,19,https://www.youtube.com/watch?v=Q0VWkElbgVE
889,18-10-2025,Nashville SC,2-5,Inter Miami CF,2-4,Gol de campo,Pie izquierdo,Major League Soccer,10,81,https://www.youtube.com/watch?v=9o9P-lGY5Gw
888,18-10-2025,Nashville SC,2-5,Inter Miami CF,2-2,Penal,Pie izquierdo,Major League Soccer,10,63,https://www.youtube.com/watch?v=sA5YvQvfiGs
887,18-10-2025,Nashville SC,2-5,Inter Miami CF,0-1,Gol de campo,Pie izquierdo,Major League Soccer,10,35,https://www.youtube.com/watch?v=y0CSUUFM3A4
